Project Number,Country,Financing,Project Type or Modality,Approval Date,ADB Financing (US$),Geographical Location,Sector
37530-022,Tajikistan,Sovereign,Technical Assistance,14/06/2005,"700,000.00",,"Agriculture, natural resources and rural development"
37534-012,Cambodia,Sovereign,Technical Assistance,14/09/2005,"850,000.00",,Transport
37535-012,Cambodia,Sovereign,Technical Assistance,18/12/2004,"530,000.00",,Public sector management
37536-012,Uzbekistan,Sovereign,Technical Assistance,31/05/2004,"550,000.00",,"Agriculture, natural resources and rural development"
37536-013,Uzbekistan,Sovereign,Grant | Loan | Technical Assistance,24/07/2006,"60,400,000.00","Bukhara, Bukhara District, Guzar District, Jondor Tumani, Kamashi District, Koson Tumani, Navbakhor Tumani, Navoiy Province, Qashqadaryo, Qiziltepa Tumani, Romiton Tumani, Xatirchi Tumani, Zeravshan River Basin","Agriculture, natural resources and rural development"
37549-012,Regional,Sovereign,Technical Assistance,27/01/2010,"6,920,000.00",Regional,Energy | Industry and trade | Transport
37556-012,Tajikistan,Sovereign,Technical Assistance,07/06/2006,"400,000.00",,Education
37559-013,Pakistan,Sovereign,Loan,13/12/2005,"770,000,000.00",,Transport
37559-023,Pakistan,Sovereign,Loan,13/12/2005,"3,000,000.00",,Transport
37559-033,Pakistan,Sovereign,Loan,15/02/2006,"180,000,000.00",,Transport
37559-043,Pakistan,Sovereign,Loan,26/08/2009,"230,000,000.00","Jacobabad, Jacobabad, Qila Saifullah, Qila Saifullah, Quetta, Quetta, Shikarpur, Shikarpur, Sukkur, Sukkur, Zhob, Zhob District",Transport
37561-012,Afghanistan,Sovereign,Technical Assistance,01/06/2004,"990,000.00",,Public sector management
37577-012,Viet Nam,Sovereign,Technical Assistance,13/12/2005,"900,000.00",,Finance
37577-013,Viet Nam,Sovereign,Loan,06/12/2007,"75,000,000.00",,Finance
37577-022,Viet Nam,Sovereign,Technical Assistance,18/12/2009,"1,000,000.00",,Finance
37577-023,Viet Nam,Sovereign,Loan,29/11/2010,"60,000,000.00",,Finance
37579-012,Lao People's Democratic Republic,Sovereign,Technical Assistance,23/02/2009,"700,000.00",,"Agriculture, natural resources and rural development"
37579-032,Lao People's Democratic Republic,Sovereign,Grant,23/02/2009,"20,000,000.00","Nation-wide, Attapu, Champasak, Khoueng Savannakhet, Khoueng Xekong, Salavan","Agriculture, natural resources and rural development"
37584-012,Viet Nam,Sovereign,Technical Assistance,19/07/2005,"700,000.00",,"Agriculture, natural resources and rural development"
37596-012,"China, People's Republic of",Sovereign,Technical Assistance,03/09/2004,"560,000.00",,Water and other urban infrastructure and services
37596-013,"China, People's Republic of",Sovereign,Loan,26/06/2006,"100,000,000.00","Nanning, Qingxiushan Park","Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
37597-012,"China, People's Republic of",Sovereign,Technical Assistance,18/11/2004,"700,000.00",,Water and other urban infrastructure and services
37597-013,"China, People's Republic of",Sovereign,Loan,26/06/2006,"100,000,000.00","Anqing Shi, Caidian, Changqing, Dongxihu Qu, Hankou, Hanyang, Huangpu, Luojiagang, Wuchang, Wuhan, Wuhan Shi",Water and other urban infrastructure and services
37599-012,"China, People's Republic of",Sovereign,Technical Assistance,28/05/2004,"400,000.00",,Health
37600-012,"China, People's Republic of",Sovereign,Technical Assistance,23/11/2005,0,,Water and other urban infrastructure and services
37603-012,"China, People's Republic of",Sovereign,Technical Assistance,19/07/2005,"600,000.00",,"Agriculture, natural resources and rural development"
37603-013,"China, People's Republic of",Sovereign,Loan,18/12/2006,"100,000,000.00","Baixia Qu, Changxiang, Dazhong Qiao, Feng Huang Shan, Gulou Qu, Hexi District, Hu Cheng He, Jiangxinzhou, Liwei, Ma'qun, Ming Yu He, Nanjing, Ningnan, Qi Qiao Weng, Qing Jiang, Qinhuai Qu, Tiexinqiao, Wuxi Shi, Xiaguan Qu, Xiangfangcun, Xibeicun, Xuanwu Qu, Yudai River, Yueya Hu, Yunliang He",Water and other urban infrastructure and services
37604-022,Lao People's Democratic Republic,Sovereign,Grant,21/11/2005,"6,000,000.00",,Health
37616-012,"China, People's Republic of",Sovereign,Technical Assistance,15/02/2005,0,,Energy
37622-012,Viet Nam,Sovereign,Technical Assistance,03/08/2004,"550,000.00",,Education
37622-013,Viet Nam,Sovereign,Loan,18/12/2006,"34,000,000.00","An Giang University, Can Tho University, Da Lat University, Da Nang, Da Nang University College of Education, Da Nang University College of Technology, Dong Thap University of Pedagogy, Hanoi University of Gymnastics and Educational Sports, Ho Chi Minh City University of Pedagogy, Hue University College of Agriculture and Forestry, Hue University College of Pedagogy, Hung Yen University for Technical Education, National University College of Foreign Language, Quy Nhan University, Tay Nguyen University, Thai Nguyen College of Industrial Engineering, Thai Nguyen University College of Education, Vinh University",Education
37624-012,Regional,Sovereign,Technical Assistance,29/03/2005,"1,360,000.00",Regional,Public sector management
37627-012,"China, People's Republic of",Sovereign,Technical Assistance,02/04/2004,"400,000.00",,Transport
37628-012,"China, People's Republic of",Sovereign,Technical Assistance,28/11/2005,"400,000.00",,Transport
37633-012,"China, People's Republic of",Sovereign,Technical Assistance,21/09/2005,0,,Energy
37641-012,"China, People's Republic of",Sovereign,Technical Assistance,29/03/2004,"150,000.00",,Water and other urban infrastructure and services
37641-013,"China, People's Republic of",Sovereign,Loan | Technical Assistance,29/06/2006,"200,000,000.00","Baojing County, Chenxi County, Chenzhou City, Cili County, Fenghuang County, Hengyang County, Hengyang Hengyang City, Huaihua City, Jianghua County, Jiangyong County, Jishou City, Leiyang City, Lengshuijiang City, Lianyuan, Liling City, Loudi City, Luxi County, Ningyuan County, Qiyang County, Sangzhi County, Shaoyang City, Shimen County, Shodong County, Shuangfeng County, Wugang City, Xinhua County, Xintian County, Xupu County, Yongzhou City, Youxian County, Zhongfang County, Zhuzhou City, Zhuzhou County, Ziangtan City","Agriculture, natural resources and rural development"
37644-013,Tajikistan,Sovereign,Grant | Loan,26/11/2004,"10,700,000.00",,Industry and trade
37647-012,"China, People's Republic of",Sovereign,Technical Assistance,29/09/2004,"500,000.00",,Public sector management
37648-012,Regional,Sovereign,Technical Assistance,22/12/2005,"1,000,000.00",Regional,Public sector management
37650-022,Lao People's Democratic Republic,Sovereign,Grant,04/01/2005,0,,"Agriculture, natural resources and rural development"
37651-012,Lao People's Democratic Republic,Sovereign,Grant,16/12/2003,0,,Water and other urban infrastructure and services
37658-012,Regional,Sovereign,Technical Assistance,03/12/2004,"870,000.00",Regional,Finance
37662-012,Regional,Sovereign,Technical Assistance,21/11/2006,"1,100,000.00",Regional,Public sector management
37666-012,Regional,Sovereign,Grant,18/12/2003,0,Regional,"Agriculture, natural resources and rural development"
37667-012,Regional,Sovereign,Technical Assistance,04/10/2004,0,Regional,Public sector management
37668-012,Regional,Sovereign,Technical Assistance,06/05/2004,0,Regional,Public sector management
37670-012,Regional,Sovereign,Technical Assistance,16/06/2004,0,Regional,Public sector management
37680-013,Kyrgyz Republic,Sovereign,Loan,11/12/2003,"5,000,000.00",,"Agriculture, natural resources and rural development | Education | Energy | Transport"
37685-012,Viet Nam,Sovereign,Technical Assistance,10/11/2004,"150,000.00",,Public sector management
37691-012,Uzbekistan,Sovereign,Technical Assistance,03/10/2005,"600,000.00",,Transport
37697-012,Mongolia,Sovereign,Technical Assistance,18/08/2005,"350,000.00",,Water and other urban infrastructure and services
37697-013,Mongolia,Sovereign,Loan,19/12/2006,"35,230,000.00","Altai, Arvayheer, Baruun-Urt, Bayanhongor, Bulgan, Erdenet, Ulan Bator",Finance | Transport | Water and other urban infrastructure and services
37697-022,Mongolia,Sovereign,Grant,02/03/2007,0,,Multisector
37698-012,Uzbekistan,Sovereign,Technical Assistance,17/12/2004,"600,000.00",,Education
37698-013,Uzbekistan,Sovereign,Loan,27/10/2005,"30,000,000.00","Nation-wide, Andijan, Bukhara, Fergana, Jizzakh Province, Karakalpakstan, Namangan, Navoiy Province, Qashqadaryo, Samarqand Viloyati, Sirdaryo, Surxondaryo Viloyati, Tashkent, Toshkent Shahri, Xorazm Viloyati",Education | Information and communication technology
37702-012,Sri Lanka,Sovereign,Technical Assistance,18/12/2003,0,,Public sector management
37704-012,Philippines,Sovereign,Technical Assistance,18/12/2003,"1,500,000.00",,Finance
37705-012,Tajikistan,Sovereign,Grant,22/01/2004,0,,Health
37707-012,Regional,Sovereign,Grant,04/06/2004,0,Regional,"Agriculture, natural resources and rural development"
37713-012,Afghanistan,Sovereign,Grant,26/12/2003,0,,"Agriculture, natural resources and rural development"
37715-012,Regional,Sovereign,Technical Assistance,16/12/2003,"500,000.00",Regional,Water and other urban infrastructure and services
37721-022,Regional,Sovereign,Grant,22/07/2004,0,Regional,Health
37725-012,Regional,Sovereign,Technical Assistance,12/11/2004,"500,000.00",Regional,"Agriculture, natural resources and rural development"
37734-012,Lao People's Democratic Republic,Sovereign,Technical Assistance,09/11/2003,"700,000.00",,Energy
37734-013,Lao People's Democratic Republic,Sovereign,Loan,04/04/2005,"20,000,000.00",,Energy
37734-022,Lao People's Democratic Republic,Sovereign,Technical Assistance,29/03/2004,"1,000,000.00",,Energy
37734-032,Lao People's Democratic Republic,Sovereign,Technical Assistance,07/07/2008,"875,000.00",,Energy
37735-012,Bangladesh,Sovereign,Technical Assistance,16/03/2004,0,,Public sector management
37736-012,Papua New Guinea,Sovereign,Technical Assistance,04/12/2006,"850,000.00",,Health
37738-012,Regional,Sovereign,Technical Assistance,23/12/2003,"150,000.00",Regional,Public sector management
37743-012,Regional,Sovereign,Technical Assistance,16/12/2004,"3,000,000.00",Regional,"Agriculture, natural resources and rural development"
37748-012,Regional,Sovereign,Technical Assistance,14/07/2004,0,Regional,Public sector management
37749-012,Philippines,Sovereign,Technical Assistance,14/09/2004,"250,000.00",,"Agriculture, natural resources and rural development"
37749-013,Philippines,Sovereign,Loan,27/10/2008,"70,000,000.00","Basilan, Camarines Norte, Camarines Sur, Eastern Samar, Lanao Del Sur, Leyte, Maguindanao, Maguindanao, Marinduque, Mindoro Occidental, Mindoro Oriental, Negros Occidental, Negros Oriental, Northern Samar, Palawan, Romblon, Samar, Sorsogon, Sulu, Tawi-Tawi, Zamboanga Del Norte, Zamboanga Del Sur, Zamboanga Sibugay","Agriculture, natural resources and rural development"
37752-012,Philippines,Sovereign,Technical Assistance,28/12/2004,"1,200,000.00",,Energy
37752-013,Philippines,Sovereign,Loan,08/12/2006,"450,000,000.00",,Energy
37755-012,Pakistan,Sovereign,Technical Assistance,18/12/2003,"150,000.00",,Public sector management
37763-012,Regional,Sovereign,Technical Assistance,23/12/2004,"515,000.00",Regional,Transport
37768-012,"China, People's Republic of",Sovereign,Technical Assistance,30/09/2004,0,,"Agriculture, natural resources and rural development"
38001-012,Viet Nam,Sovereign,Grant,09/01/2004,0,,Health
38002-012,Afghanistan,Sovereign,Technical Assistance,04/05/2004,"1,000,000.00",,"Agriculture, natural resources and rural development"
38015-012,Regional,Sovereign,Technical Assistance,02/12/2005,"900,000.00",Regional,Industry and trade
38015-013,Regional,Sovereign,Grant | Loan,15/10/2008,"20,000,000.00","Lao People's Democratic Republic - Nation-wide, Ban Nakasang, Ban Phimonsin, Champasak, Don Khon, Houaphan, Khoueng Bokeo, Khoueng Oudomxai, Khoueng Savannakhet, Louangnamtha, Salavan, Vangviang, Vientiane Province, Xaignabouli; Viet Nam - Nation-wide, Ho Ba Be, Phong Nha-Ke Bang National Park, Tinh Bac Kan, Tinh Cao Bang, Tinh Quang Binh, Tinh Quang Tri, Tinh Thua Thien-Hue",Industry and trade
38017-012,Viet Nam,Sovereign,Grant,21/11/2005,"15,000,000.00",,Health
38020-012,Regional,Sovereign,Technical Assistance,17/12/2004,"1,000,000.00",Regional,"Agriculture, natural resources and rural development"
38023-012,Viet Nam,Sovereign,Technical Assistance,23/11/2005,"2,165,000.00",,Transport
38028-012,Pakistan,Sovereign,Technical Assistance,30/09/2004,"290,000.00",,Transport
38034-012,Regional,Sovereign,Grant,02/07/2004,0,Regional,Industry and trade
38048-012,Nepal,Sovereign,Technical Assistance,12/04/2004,"460,000.00",,Education
38049-012,Bhutan,Sovereign,Technical Assistance,23/12/2004,"600,000.00",,Water and other urban infrastructure and services
38049-013,Bhutan,Sovereign,Loan | Technical Assistance,27/09/2006,"24,850,000.00","Daga, Phuentsholing, Thimphu",Transport | Water and other urban infrastructure and services
38055-012,Regional,Sovereign,Technical Assistance,02/12/2005,"600,000.00",Regional,Education | Information and communication technology
38059-012,Nepal,Sovereign,Technical Assistance,07/07/2004,0,,"Agriculture, natural resources and rural development"
38060-012,Mongolia,Sovereign,Technical Assistance,17/09/2004,"214,000.00",,Finance
38071-012,Cambodia,Sovereign,Technical Assistance,16/08/2004,0,,"Agriculture, natural resources and rural development"
38074-012,Uzbekistan,Sovereign,Technical Assistance,10/08/2004,"575,000.00",,"Agriculture, natural resources and rural development"
38074-013,Uzbekistan,Sovereign,Loan,12/12/2005,"25,000,000.00",,"Agriculture, natural resources and rural development"
38075-012,Regional,Sovereign,Technical Assistance,11/10/2005,"3,400,000.00",Regional,Industry and trade
38078-012,Kyrgyz Republic,Sovereign,Technical Assistance,11/10/2004,0,,"Agriculture, natural resources and rural development"
38079-012,Kyrgyz Republic,Sovereign,Technical Assistance,12/10/2004,0,,"Agriculture, natural resources and rural development"
38082-012,Regional,Sovereign,Technical Assistance,23/12/2004,0,Regional,"Agriculture, natural resources and rural development"
38088-012,Nepal,Sovereign,Technical Assistance,28/03/2006,"150,000.00",,Water and other urban infrastructure and services
38097-012,Nepal,Sovereign,Grant | Technical Assistance,03/07/2009,"500,000.00",,Public sector management
38100-012,Regional,Sovereign,Technical Assistance,25/03/2004,"90,000.00",Regional,Public sector management
38105-012,Mongolia,Sovereign,Technical Assistance,22/07/2004,"350,000.00",,Health
38111-013,Sri Lanka,Sovereign,Loan,15/06/2004,"10,000,000.00",,"Agriculture, natural resources and rural development | Education | Finance | Health | Public sector management"
38117-012,Indonesia,Sovereign,Technical Assistance,08/09/2004,"400,000.00",,Health
38117-013,Indonesia,Sovereign,Loan | Technical Assistance,31/08/2007,"50,500,000.00","East Nusa Tenggara, North Sumatra, South Sulawesi, South Sumatra, West Kalimantan, West Nusa Tenggara",Health
38121-012,Indonesia,Sovereign,Technical Assistance,23/12/2004,"296,500.00",,Public sector management
38122-013,Afghanistan,Sovereign,Grant | Loan,14/12/2005,"55,000,000.00",Nation-wide,Public sector management
38128-012,Bangladesh,Sovereign,Technical Assistance,23/11/2004,"500,000.00",,Transport
38129-022,Sri Lanka,Sovereign,Technical Assistance,22/11/2004,0,,Health
38135-013,Pakistan,Sovereign,Loan,21/12/2004,"57,000,000.00",,Education | Energy | Health | Transport | Water and other urban infrastructure and services
38136-012,India,Sovereign,Technical Assistance,21/12/2004,0,,Water and other urban infrastructure and services
38136-013,India,Sovereign,Loan,21/12/2004,"250,000,000.00","Jammu, Jammu and Kashmir, Srinagar",Transport | Water and other urban infrastructure and services
38138-012,Kiribati,Sovereign,Technical Assistance,02/12/2004,"800,000.00",,Public sector management
38147-012,Solomon Islands,Sovereign,Technical Assistance,15/12/2004,"300,000.00",,Public sector management
38150-012,Solomon Islands,Sovereign,Technical Assistance,20/05/2005,"495,000.00",,Transport
38151-012,Solomon Islands,Sovereign,Technical Assistance,25/11/2005,"400,000.00",,Public sector management
38160-012,Tonga,Sovereign,Technical Assistance,16/09/2005,"700,000.00",,Water and other urban infrastructure and services
38160-022,Tonga,Sovereign,Technical Assistance,27/05/2008,"700,000.00",,Water and other urban infrastructure and services
38160-032,Tonga,Sovereign,Grant,27/05/2008,"11,300,000.00",Nuku'alofa,Transport | Water and other urban infrastructure and services
38164-012,Bangladesh,Sovereign,Technical Assistance,16/07/2007,"575,000.00",,Energy
38164-013,Bangladesh,Sovereign,Loan,26/03/2010,"266,000,000.00","Ashuganj, Bagerhat District, Bakhrabad, Barabkunda, Brahmanbaria, Brahmanbaria District, Comilla District, Dewanbari, Elenga, Feni, Jessore District, Jhenaidah District, Khulna District, Kushtia District, Kutumbapur, Mongla, Mongla, Mongla, Monohordi",Energy
38172-012,Nepal,Sovereign,Technical Assistance,30/08/2007,"400,000.00",,Public sector management
38173-012,Regional,Sovereign,Technical Assistance,23/03/2005,"500,000.00",Regional,"Agriculture, natural resources and rural development"
38174-012,"China, People's Republic of",Sovereign,Technical Assistance,30/08/2005,"800,000.00",,Transport
38174-013,"China, People's Republic of",Sovereign,Loan,18/12/2006,"300,000,000.00","Changheba, Chengxian Chengguanzhen, Erlang, Ganjiangba, Honghe, Kuanchuan, Lixian, Longnan Shi, Sijiaba, Tianchi, Wangguan, Wudu, Yangba, Zhaojiaba",Transport
38176-012,Nepal,Sovereign,Technical Assistance,09/12/2011,0,,Education
38176-015,Nepal,Sovereign,Grant,25/06/2013,"20,000,000.00","Nation-wide, Balaju, Bharatpur, Dang, Dhankuta, Doti, Kavre, Lahan, Nepalgunj, Tanahun",Education
38177-013,Kyrgyz Republic,Sovereign,Loan,26/11/2004,"7,500,000.00","Nation-wide, Tajikistan",Industry and trade
38178-013,Pakistan,Sovereign,Loan,14/12/2004,"11,000,000.00",,Education
38179-012,Tajikistan,Sovereign,Technical Assistance,05/11/2004,0,,Energy
38182-012,Samoa,Sovereign,Technical Assistance,20/10/2004,"150,000.00",,Public sector management
38183-012,Samoa,Sovereign,Technical Assistance,25/05/2006,"450,000.00",,Energy
38183-013,Samoa,Sovereign,Grant | Loan | Technical Assistance,21/11/2007,"42,000,000.00","Apia, Mulinu'u Point, Saleufi, Tanugamanono, Togafuafua, Tuamasaga, Upolu, Vaimauga West",Energy
38189-012,Timor-Leste,Sovereign,Technical Assistance,15/09/2005,"600,000.00",,Water and other urban infrastructure and services
38189-022,Timor-Leste,Sovereign,Grant,18/12/2007,"6,000,000.00","Comoro, Comoro, Dili, Dili, Dom Aleixo, East Timor",Water and other urban infrastructure and services
38190-012,Timor-Leste,Sovereign,Technical Assistance,21/12/2004,"250,000.00",,Public sector management
38191-012,Marshall Islands,Sovereign,Technical Assistance,30/05/2006,"250,000.00",,Education
38196-012,Viet Nam,Sovereign,Technical Assistance,10/12/2004,"500,000.00",,Energy
38196-013,Viet Nam,Sovereign,Loan,21/12/2005,"360,000,000.00","Bac Yen, Bim Son Township, Binh Xuyen, Cam Pha Township, Dien Chau, Dong Anh, Dong Son, Hiep Hoa, Hoa Binh, Hoa Binh Township, Khoai Chau, Kim Dong, Kinh Mon, Lac Son, Lap Thach, Mai Chau, Mai Son, Moc Chau, Muong La, Nghi Loc, Nho Quan, Nong Cong, Pho Yen, Phu Ninh, Phu Tho Township, Phu Yen, Phuc Yen township, Quynh Luu, Soc Son, Son La, Son La Township, Tam Dao, Tam Duong, Tam Nong, Tan Lac, Thanh Hoa City, Thanh Son, Thuong Tin, Tinh Gia, Trieu Son, Tuyen Quang, Tuyen Quang Township, Viet Tri City, Vinh City, Yen Bai City, Yen Chau, Yen Lap, Yen Son, Yen Thanh, Yen Thuy",Energy
38198-012,"Micronesia, Federated States of",Sovereign,Technical Assistance,16/05/2006,"600,000.00",,Public sector management
38212-012,Timor-Leste,Sovereign,Technical Assistance,14/07/2005,"600,000.00",,Information and communication technology | Transport | Water and other urban infrastructure and services
38213-012,Timor-Leste,Sovereign,Technical Assistance,20/12/2004,"500,000.00",,Finance
38221-012,Afghanistan,Sovereign,Technical Assistance,15/12/2004,"250,000.00",,"Agriculture, natural resources and rural development"
38226-012,"China, People's Republic of",Sovereign,Technical Assistance,28/11/2005,"500,000.00",,Water and other urban infrastructure and services
38234-012,"China, People's Republic of",Sovereign,Technical Assistance,20/04/2005,0,,Public sector management
38235-012,Regional,Sovereign,Technical Assistance,20/08/2004,"350,000.00",Regional,Industry and trade | Transport
38236-022,Tajikistan,Sovereign,Grant | Loan,17/11/2005,"50,000,000.00","Dushanbe, Kadara, Kalanak, Kaznok, Nimichi-Poyen, Nohiyai Nurobod, Nohiyai Rasht, Nohiyai Rudaki, Novobod, Obigarm, Roghun, Roghun District, Tojikobod District",Transport
38239-012,Tajikistan,Sovereign,Technical Assistance,23/12/2004,"500,000.00",,Public sector management
38247-012,Tajikistan,Sovereign,Technical Assistance,03/10/2005,"200,000.00",,Public sector management
38251-012,Afghanistan,Sovereign,Technical Assistance,23/12/2004,"450,000.00",,"Agriculture, natural resources and rural development"
38252-012,Afghanistan,Sovereign,Technical Assistance,07/12/2005,"755,000.00",,"Agriculture, natural resources and rural development"
38254-013,India,Sovereign,Loan,06/12/2006,"270,000,000.00",,Water and other urban infrastructure and services
38254-033,India,Sovereign,Loan,26/01/2007,"23,420,849.16","Badami, Bagalkot, Basavakalyan, Belgaum, Bellary, Bidar, Bijapur, Chamrajnagar, Davangere, Gadag, Gangawati, Gokak, Gulbarga, Haveri, Hospet, Hubli-Dharwad, Ilkal, Jamkhandi, Karnataka, Koppal, Nipani, Rabkavi-Banhatti, Raichur, Ranibennur, Shahabad, Sindhnur, Yadgir",Water and other urban infrastructure and services
38254-043,India,Sovereign,Loan,14/06/2010,"123,000,000.00","Badami, Basavakalyan, Belgaum, Bellary, Bidar, Bijapur, Gadag-Betageri, Gangawati, Gokak, Gulbarga, Haveri, Hospet, Hubli-Dharwad, Ilkal, Jamkhandi, Koppal, Nipani, Rabkavi-Banhatti, Ranibennur, Shahabad, Sindhnur, Yadgir",Water and other urban infrastructure and services
38254-053,India,Sovereign,Loan,22/08/2012,"60,000,000.00","Bidar, Davangere, Dharwad, Gadag-Betageri, Gulbarga, Jamkhandi, Sindhnur, Yadgir",Water and other urban infrastructure and services
38254-063,India,Sovereign,Loan,09/12/2013,"63,300,000.00","Badami, Basavakalyan, Bellary, Bidar, Gadag-Betageri, Gokak, Haveri, Hospet, Ilkal, Nipani, Raichur, Shahabad, Sindhnur, Yadgir",Transport | Water and other urban infrastructure and services
38255-012,India,Sovereign,Technical Assistance,01/07/2005,"368,000.00",,Transport
38255-013,India,Sovereign,Loan,18/12/2006,"550,000,000.00",,Transport
38255-023,India,Sovereign,Loan,02/01/2007,"50,000,000.00","Almora, Almora, Bageshwar, Bageshwar, Barechhina, Berinag, Chakrata, Chamoli, Champawat, Dehra Dun, Dehradun, Fatehpur, Ghat, Gupta Kashi, Kalsi, Lansdowne, Lohaghat, Mahaan, Naini Tal, Nandaprayag, Nathuakhan, Parola, Pauri, Pauri Garhwal, Pithoragarh, Pokhri, Pulla, Ranikhet, Rudraprayag, Rudraprayag, Srinagar, State of Uttarakhand, Thal, Udham Singh Nagar, Udiyari, Uttarkashi",Transport
38255-033,India,Sovereign,Loan,22/10/2008,"140,000,000.00","Almora, Bageshwar, Chamoli, Dehra Dun, Haridwar, Naini Tal, Pauri Garhwal, Pithoragarh, Rudra Prayag, Tehri Garhwal, Uttarakhand",Transport
38255-043,India,Sovereign,Loan,09/10/2013,"150,000,000.00","Almora, Bageshwar, Bageshwar, Bazpur, Bungidhar, Chakarpur, Chamba, Chamoli district, Champawat, Dehra Dun, Gularbhoj, Kapkot, Keshowala, Kotdwara, Naini Tal, Pauri Garhwal, Pithoragarh, Pokhri, Pulinda, Ranikhet, Rudraprayag, Someshwar, Sukhidhang, Tehri-Garhwal, Thal, Udham Singh Nagar, Uttarkashi",Transport
38260-012,India,Sovereign,Technical Assistance,31/10/2005,0,,Water and other urban infrastructure and services
38264-012,Indonesia,Sovereign,Technical Assistance,03/12/2007,"700,000.00",,Public sector management
38264-013,Indonesia,Sovereign,Loan | Technical Assistance,04/12/2008,"351,500,000.00",,Public sector management
38264-032,Indonesia,Sovereign,Technical Assistance,10/12/2009,"1,000,000.00",,Public sector management
38272-012,India,Sovereign,Technical Assistance,14/07/2005,"600,000.00",,Water and other urban infrastructure and services
38272-013,India,Sovereign,Loan,24/01/2008,"350,000,000.00",,Water and other urban infrastructure and services
38272-023,India,Sovereign,Loan,01/02/2008,"60,000,000.00","Dehradun, Haridwar, Nainital",Water and other urban infrastructure and services
38272-033,India,Sovereign,Loan,03/11/2011,"100,000,000.00","Dehradun, Haldwani, Nainital, Ramnagar, Roorkee",Water and other urban infrastructure and services
38275-022,Philippines,Sovereign,Technical Assistance,03/04/2006,"1,800,000.00",,Public sector management
38276-013,Philippines,Sovereign,Loan | Technical Assistance,06/12/2006,"200,800,000.00",,Finance
38276-023,Philippines,Sovereign,Loan,07/12/2010,"200,000,000.00",,Finance
38277-012,Philippines,Sovereign,Technical Assistance,30/08/2006,"800,000.00",,Public sector management
38296-012,India,Sovereign,Technical Assistance,07/12/2006,"400,000.00",,Water and other urban infrastructure and services
38298-012,Kyrgyz Republic,Sovereign,Technical Assistance,24/10/2005,"300,000.00",,Education
38298-022,Kyrgyz Republic,Sovereign,Grant,29/01/2007,"10,000,000.00","Balykchy, Batken, Batken, Bazar-Korgon, Bishkek, Chuyskaya Oblast', Gul'cha, Issyk-Kul'skaya Oblast', Jalal-Abad, Jalal-Abad, Kaindy, Kara-Balta, Kara-Kul', Karakol, Kzyl-Kiya, Maymak, Naryn, Naryn, Osh, Osh Oblasty, Sulyukta, Talas, Talas, Tien Shan, Tokmok, Toktogul, Uzgen, Ysyk-Kol",Education
38298-023,Kyrgyz Republic,Sovereign,Grant | Loan,28/09/2012,"20,000,000.00","Nation-wide, Bishkek, Osh",Education
38301-012,"China, People's Republic of",Sovereign,Technical Assistance,18/08/2005,"550,000.00",,"Agriculture, natural resources and rural development"
38301-013,"China, People's Republic of",Sovereign,Grant | Loan,25/11/2008,"83,000,000.00","Anyang Xian, Boxing Xian, Changge Shi, Dancheng Xian, Gangu Xian, Gaomi Shi, Jiaozuo Shi, Linshu Xian, Linying Xian, Luoyang Shi, Luyi Xian, Maiji Qu, Qin'an Xian, Qingshui Xian, Qingzhou Shi, Qinzhou Qu, Ruzhou Shi, Shan Xian, Tancheng Xian, Wudi Xian, Wushan Xian, Xuchang Xian, Yishui Xian, Zhangjiachuan Huizu Zizhixian, Zhecheng Xian, Zhengzhou, Zhucheng Shi","Agriculture, natural resources and rural development"
38327-012,"China, People's Republic of",Sovereign,Technical Assistance,20/12/2007,"200,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services"
38335-013,Viet Nam,Sovereign,Loan,12/12/2006,"20,000,000.00",,Industry and trade
38335-032,Viet Nam,Sovereign,Technical Assistance,20/04/2006,"600,000.00",,Industry and trade
38346-012,India,Sovereign,Technical Assistance,23/11/2005,"900,000.00",,Transport
38347-012,Nepal,Sovereign,Technical Assistance,30/08/2006,"600,000.00",,Information and communication technology
38347-022,Nepal,Sovereign,Grant,28/01/2008,"25,000,000.00",Kathmandu,Information and communication technology
38349-012,Nepal,Sovereign,Technical Assistance,14/12/2007,"750,000.00",,Transport
38349-013,Nepal,Sovereign,Grant | Loan,23/11/2009,"80,000,000.00","Simikot Airport, Talcha Airport, Tenzing-Hillary Airport, Tribhuvan International Airport",Transport
38349-030,Nepal,Sovereign,Technical Assistance,27/11/2019,"1,000,000.00",Nation-wide,Transport
38350-012,Nepal,Sovereign,Technical Assistance,07/12/2009,"600,000.00",,Transport
38350-013,Nepal,Sovereign,Loan | Technical Assistance,30/07/2013,"76,000,000.00","Bhojpur, Birtamod, Chandragadhi, Chatara, Diktel, Halesi, Janakpur Zone, Jhapachok, Kos Zone, Leguwaghat, Manthali, Mech Zone, Nadaha, Rmechhp, Sagarm Zone",Transport
38356-012,Sri Lanka,Sovereign,Technical Assistance,25/07/2008,"300,000.00",,Public sector management
38356-013,Sri Lanka,Sovereign,Loan,15/04/2010,"30,800,000.00",Nation-wide,Public sector management
38356-022,Sri Lanka,Sovereign,Technical Assistance,15/04/2010,"2,000,000.00",,Information and communication technology | Public sector management
